marketId,chainId,collateral_symbol,collateral_address,loan_symbol,loan_address,borrow_usd,collateral_usd
0x64d2f82e674b764d618b630297813cd34bdc42a0fa66f92efa2ac8b1efe4bbd5,1,siUSD,0xDBDC1Ef57537E34680B898E1FEBD3D68c7389bCB,msUSD,0xab5eB14c09D416F0aC63661E57EDB7AEcDb9BEfA,17745955.93878781,19970047.208798956
0xdbf4bc065d4e76f4505a523f2bba5e5ccdca94c16d67c3a6ff1dadbcbb26d4aa,1,stcUSD,0x88887bE419578051FF9F4eb6C858A951921D8888,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,16634551.969562033,21049966.438856643
0x002278ea242ec722813b4fe3c8eeaa07dbc331c731cc0b4248a1bf0771f933ea,1,PST,0x22aE3D9a738471f405169Af055d31c687087d4c7,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,14370936.204826973,20328064.603528496
0xffd010618ed3cb39bb2c5de0e3e58d3d2ec9f52187a180f29723c31756a939bc,1,cbBTC,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,RLUSD,0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD,14345879.862505851,30156212.623390652
0xd570c19c0dc0fbe4ab7faf4a37c4150e1c141c8aada8ca3e1b4b6c1b712af93d,1,stUSDS,0x99CD4Ec3f88A45940936F469E4bB72A2A701EEB9,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,13212701.945645774,17696223.89190105
0x4565ac05d38b19374ccbb04c17cca60ca9353cd41824f0803d0fc7704f60eaed,1,reUSD,0x5086bf358635B81D8C47C66d1C8b9E567Db70c72,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,12802694.94344676,14552528.743192436
0xef2c308b5abecf5c8750a1aa82b47c558005feb7a03f4f8e1ad682d71ac8d0ba,1,mF-ONE,0x238a700eD6165261Cf8b2e544ba797BC11e466Ba,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,12095876.983837618,28046794.533118892
0x82053fe2fc3a3d6cb856458948e9c3589e76f20f3a2079606739b517587267ce,1,cbBTC,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,EURCV,0x5F7827FDeb7c20b443265Fc2F40845B715385Ff2,10173392.362735158,15349052.547889221
0xbbf7ce1b40d32d3e3048f5cf27eeaa6de8cb27b80194690aab191a63381d8c99,1,siUSD,0xDBDC1Ef57537E34680B898E1FEBD3D68c7389bCB,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,9367254.461125538,12707959.173789712
0x582fdc4176da0ab5c65e086603ab9ecd9188e889e16efef6e35854cf14e15065,1,sUSDat,0xD166337499E176bbC38a1FBd113Ab144e5bd2Df7,AUSD,0x00000000eFE302BEAA2b3e6e1b18d08D69a9012a,8766445.502158806,17597449.93598713
0xfd0d72a4f0469598b566b1bc5fe64835f828f90b1fb7d746148c086164cd4cc2,1,AZND,0x52c66B5E7f8Fde20843De900C5C8B4b0F23708A0,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,8609090.585020274,11449710.61473077
